name,label
192_102036174_dr1,3_fix_needed
193_102036816_dr1,1_ok
194_102038593_dr1,5_recentering_needed
195_102014748_dr1,1_ok
196_102029295_dr1,1_ok
197_102034993_dr1,1_ok
198_102022965_dr1,1_ok
199_102030916_dr1,1_ok
200_102028155_dr1,1_ok
201_102013171_dr1,5_recentering_needed
202_102041002_dr1,1_ok
203_102022491_dr1,5_recentering_needed
204_102161352_dr1,1_ok
206_102154469_dr1,1_ok
208_102162501_dr1,1_ok
209_102038598_dr1,1_ok
210_102022462_dr1,1_ok
211_102030940_dr1,5_recentering_needed
212_102046132_dr1,5_recentering_needed
213_102020553_dr1,1_ok
214_102023019_dr1,1_ok
215_102014346_dr1,4_group_scale
217_102016887_dr1,1_ok
218_101375808_dr1,1_ok
219_102012344_dr1,1_ok
220_102013932_dr1,5_recentering_needed
221_102019154_dr1,1_ok
222_102008479_dr1,1_ok
223_102020533_dr1,1_ok
224_102159966_dr1,1_ok
225_102033774_dr1,1_ok
226_102037389_dr1,1_ok
228_102015955_dr1,5_recentering_needed
229_102034361_dr1,1_ok
231_102037320_dr1,1_ok
232_102034983_dr1,1_ok
233_102026560_dr1,3_fix_needed
234_102039194_dr1,5_recentering_needed
235_102036192_dr1,5_recentering_needed
236_102018672_dr1,1_ok
237_102032631_dr1,1_ok
238_102038593_dr1,1_ok
239_102011963_dr1,1_ok
240_102163605_dr1,1_ok
241_102023434_dr1,5_recentering_needed
242_102040439_dr1,1_ok
243_102026024_dr1,1_ok
245_102164454_dr1,5_recentering_needed
246_102039194_dr1,1_ok
247_102158522_dr1,3_fix_needed
248_102024028_dr1,5_recentering_needed
249_102027146_dr1,1_ok
250_102050728_dr1,4_group_scale
251_102038007_dr1,5_recentering_needed
252_102019577_dr1,1_ok
253_102035577_dr1,1_ok
254_102164620_dr1,1_ok
255_102032042_dr1,1_ok
256_102028178_dr1,1_ok
257_102015136_dr1,1_ok
258_102164602_dr1,1_ok
259_102019553_dr1,4_group_scale
260_102019100_dr1,1_ok
261_102032070_dr1,5_recentering_needed
262_102153314_dr1,1_ok
263_102024483_dr1,1_ok
264_102042927_dr1,5_recentering_needed
265_102034353_dr1,1_ok
